NAICS_Code,BEA_Sector_Code,BEA_Sector_Name,Spending_USD,Pct_of_Total,GHG_kg_CO2e,Energy_MJ,Water_gallons,Land_m2_year,GHG_Intensity_kg_per_1000USD,Energy_Intensity_MJ_per_1000USD
541330,541300,Architectural Services,44026326237.26,9.976320559862303,4138474666.3024397,71322648504.36119,8276949332.604879,20692373.331512198,94.0,1620.0
336411,336411,Aircraft Manufacturing,43405995587.44,9.835754268176705,5469155444.01744,417782707529.11,10938310888.03488,27345777.2200872,126.0,9625.0
541715,541700,Research and Development in Nanotechnology,31821752978.77,7.210776724411065,4614154181.921649,51551239825.60739,9228308363.843298,22911662.144714396,145.0,1620.0
336414,336414,Guided Missile and Space Vehicle Manufacturing,25032303640.17,5.672294438566946,3304264080.5024395,240935922536.63623,6608528161.004879,16521320.402512198,132.0,9625.0
336611,336611,Ship Building and Repairing,22873781109.11,5.183175437597129,4185901942.96713,220160143175.18378,8371803885.93426,21043878.620381203,183.0,9625.0
236220,236220,Commercial and Institutional Building Construction,19992575076.58,4.5302970932940765,8996658784.461,167937630643.27203,26989976353.383003,89966587.84461,449.99999999999994,8400.0
336413,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,16646884744.99,3.7721670812167587,2530326481.23848,160226265670.52875,5060652962.47696,12651632.406192401,152.0,9625.0
334511,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",16603561909.65,3.7623501709757172,1062627962.2176,109583508603.69,2125255924.4352,5313139.811088,64.0,6600.0
524114,524100,Insurance Carriers,14305427272.61,3.2415952093811597,510703753.6321771,18310946908.9408,1019976964.5370932,2574976.9090698003,35.7,1280.0
541512,541512,Computer Systems Design Services,12185894166.18,2.761311172211348,1096730474.9562,19741148549.2116,2193460949.9124,5483652.374781,89.99999999999999,1620.0000000000002
561210,561000,Administrative and Support Services,11972775432.89,2.7130186849128397,1276297861.1460738,25142828409.069,2552595722.2921476,6345570.9794317,106.6,2100.0
324110,324110,Petroleum Refineries,11679017813.77,2.646453508444338,4835113374.90078,283800132874.611,14505340124.70234,48351133.7490078,414.0,24300.000000000004
332993,332900,Other Fabricated Metal Product Manufacturing,9058346422.12,2.0526120476722984,2223824046.6304603,82453598307.3473,6142464708.839573,19566028.271779202,245.50000000000003,9102.5
336412,336412,Aircraft Engine and Engine Parts Manufacturing,8354967908.31,1.8932271948260166,1161340539.25509,80416566117.48376,2322681078.51018,5848477.535817,139.0,9625.0
541712,541700,Research and Development in Nanotechnology,7479717591.75,1.6948963670147759,1084559050.8037498,12117142498.635,2169118101.6074996,5385396.66606,145.0,1620.0
336992,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",6565064391.16,1.4876368859257678,2901758460.89272,63188744764.915,8705275382.67816,29017584.6089272,442.0,9625.0
488190,488000,Support Activities for Transportation,6396936448.83,1.4495392659082567,4287866501.6507483,45619112591.18626,19250940549.109,74844156.45131099,670.3,7131.4
541990,541900,Other Professional Services,5774005699.4,1.3083837943065972,553149746.00252,9353889233.028,1228708412.83232,3348923.3056519995,95.8,1620.0
334220,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,4619805912.53,1.0468433014231626,489699426.72817993,30490719022.697994,979398853.4563599,2448497.1336409,106.0,6600.0
541511,541511,Custom Computer Programming Services,4195369690.34,0.9506664869652525,344020314.60788,6796498898.3508005,688040629.21576,1720101.5730394,82.0,1620.0
325411,325400,Pharmaceutical and Medicine Manufacturing,4181904328.03,0.9476152496184134,2482378409.118608,55201137129.996,10922715914.381557,42195414.6698227,593.6,13200.0
339999,339900,Other Miscellaneous Manufacturing,3883023302.05,0.8798891143881352,567698006.75971,22424459569.338753,1291493550.26183,3611211.6709065,146.2,5775.0
541611,541600,Management and Technical Consulting,3758765485.68,0.8517324201071914,360089733.52814394,6089200086.8015995,799865295.3527039,2180083.9816944,95.8,1620.0
511210,511200,Software Publishers,3577535127.61,0.8106658060649139,268315134.57075003,10947257490.4866,536630269.14150006,1359463.3484918003,75.0,3060.0
237990,237990,Other Heavy and Civil Engineering Construction,3501560631.13,0.793450062757739,1575702284.0085,29413109301.492,4727106852.0255,15757022.840085,450.0,8400.0
423850,423000,"Merchant Wholesalers, Durable Goods",3409017565.19,0.7724798985329401,310220598.43229,7670289521.677501,620441196.86458,1568148.0799874,91.0,2250.0
481212,481000,Scheduled Passenger Air Transportation,3254648981.27,0.7375001350782602,2229434552.16995,41659506960.256004,11147172760.84975,44588691.043399006,685.0,12800.0
483111,483000,Deep Sea Freight Transportation,3211211786.82,0.7276573111796918,1872136471.7160602,23120724865.104,9360682358.5803,37442729.4343212,583.0,7200.0
334290,334290,Other Communications Equipment Manufacturing,2375815323.69,0.5383573258516688,163931257.33461,15680381136.354,327862514.66922,831535.3632914999,69.0,6600.0
481211,481000,Scheduled Passenger Air Transportation,1993521185.81,0.45172986465734055,1365562012.27985,25517071178.368,6827810061.39925,27311240.245597,685.0,12800.0
423450,423000,"Merchant Wholesalers, Durable Goods",1711555154.9,0.3878366500340968,155751519.0959,3850999098.525,311503038.1918,787315.371254,91.0,2250.0
561990,561000,Administrative and Support Services,1646673993.69,0.37313464516912426,175535447.727354,3458015386.7490005,351070895.454708,872737.2166557001,106.6,2100.0
336212,336212,Truck Trailer Manufacturing,1357528119.27,0.3076144853395192,262002927.01911,12319567682.37525,524005854.03822,1303226.9944991998,193.0,9075.0
332992,332900,Other Fabricated Metal Product Manufacturing,1248095156.04,0.28281708763900076,306407360.80782,11360786157.8541,846333325.310724,2695885.5370464004,245.50000000000003,9102.5
561720,561000,Administrative and Support Services,1128276055.85,0.25566620191104156,120274227.55361,2369379717.2850003,240548455.10722,597986.3096005,106.6,2100.0
541810,541800,Advertising Agencies,939511210.03,0.21289228063982846,78918941.64252,1522008160.2486,157837883.28504,394594.7082126,84.0,1620.0
622110,622000,General Medical and Surgical Hospitals,901006984.86,0.20416726254190812,117130908.03180002,3941905558.7625003,234261816.06360003,585654.5401590001,130.0,4375.0
541211,541200,Offices of Certified Public Accountants,794204389.13,0.1799659034304109,38916015.06737,1286611110.3906,77832030.13474,190609.0533912,49.0,1620.0
492110,492000,Couriers and Express Delivery Services,789577355.8,0.17891742240357064,249506444.4328,4421633192.4800005,748519333.2983999,2495064.4443280003,316.0,5600.000000000001
336211,336211,Motor Vehicle Body Manufacturing,751781485.21,0.17035291673001304,163136582.29057002,7235896795.146251,489409746.87171006,1631365.8229057002,217.0,9625.0
315210,315000,Hosiery and Sock Mills,741605246.24,0.1680469913727307,77126945.60896,2873720329.18,154253891.21792,385634.7280448,104.0,3875.0
541690,541600,Management and Technical Consulting,718771404.24,0.16287286609646678,68858300.526192,1164409674.8688,152954554.822272,416887.4144592,95.8,1620.0
541614,541600,Management and Technical Consulting,713378298.23,0.16165079378275315,68341640.970434,1155672843.1326,151806901.863344,413759.4129734,95.8,1620.0
493190,493000,General Warehousing and Storage,683537439.73,0.15488888572408022,151061774.18033,2734149758.92,453185322.54099,1510617.7418033,221.0,4000.0
541714,541700,Research and Development in Nanotechnology,624869329.49,0.1415947518633212,90606052.77604999,1012288313.7738,181212105.55209997,449905.9172328,145.0,1620.0
221122,221100,Electric Power Generation,618215837.37,0.14008707734435438,680037421.107,2009201471.4525003,2040112263.3210003,6800374.21107,1100.0,3250.0
315990,315000,Hosiery and Sock Mills,593630220.02,0.13451600156292493,61737542.882079996,2300317102.5775,123475085.76415999,308687.71441039996,104.0,3875.0
221310,221300,Water Supply and Irrigation Systems,534094358.49,0.12102523614611418,255831197.71670997,1735806665.0925,767493593.15013,2558311.9771671,478.99999999999994,3250.0
